GEO_ID,NAME,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,INTPTLAT,INTPTLON
Geographic Identifier,Geographic Area Name,"Area (Land, in square meters)","Area (Water, in square meters)","Area (Land, in square miles)","Area (Water, in square miles)",Internal Point (Latitude),Internal Point (Longitude)
0500000US36001,"Albany County, New York",1354273423,26971925,522.888,10.414,42.5882401,-73.9740095
0500000US36003,"Allegany County, New York",2666409356,12990521,1029.506,5.016,42.2478532,-78.0261531
0500000US36005,"Bronx County, New York",109235672,39353304,42.176,15.194,40.8487111,-73.852939
0500000US36007,"Broome County, New York",1827626589,25078245,705.651,9.683,42.1619773,-75.8302833
0500000US36009,"Cattaraugus County, New York",3388177068,36783591,1308.183,14.202,42.2390986,-78.662332
0500000US36011,"Cayuga County, New York",1791207571,445691126,691.589,172.082,43.0085456,-76.5745866
0500000US36013,"Chautauqua County, New York",2746450219,1139029655,1060.41,439.782,42.3042159,-79.4075949
0500000US36015,"Chemung County, New York",1054988439,8875327,407.333,3.427,42.1486972,-76.7524712
0500000US36017,"Chenango County, New York",2314006879,13433905,893.443,5.187,42.4780238,-75.6022407
0500000US36019,"Clinton County, New York",2687763025,206581998,1037.751,79.762,44.752712,-73.7056429
0500000US36021,"Columbia County, New York",1643770715,35071400,634.663,13.541,42.2476964,-73.6267175
0500000US36023,"Cortland County, New York",1291817953,7110638,498.774,2.745,42.594039,-76.0762398
0500000US36025,"Delaware County, New York",3736306657,64163829,1442.596,24.774,42.1939865,-74.9667281
0500000US36027,"Dutchess County, New York",2060598611,76906718,795.602,29.694,41.7548253,-73.7400136
0500000US36029,"Erie County, New York",2700743427,476876396,1042.763,184.123,42.752759,-78.7781922
0500000US36031,"Essex County, New York",4646753187,316350563,1794.122,122.144,44.1096005,-73.7784307
0500000US36033,"Franklin County, New York",4219857155,176622254,1629.296,68.194,44.5943758,-74.31067
0500000US36035,"Fulton County, New York",1283234687,96916403,495.46,37.42,43.1156093,-74.4236782
0500000US36037,"Genesee County, New York",1276803034,6136678,492.976,2.369,43.0009096,-78.1927784
0500000US36039,"Greene County, New York",1676140498,28201061,647.161,10.888,42.2869702,-74.1495421
0500000US36041,"Hamilton County, New York",4447989312,234204425,1717.378,90.427,43.6578786,-74.5024556
0500000US36043,"Herkimer County, New York",3653400320,120358452,1410.586,46.471,43.571009,-74.8410968
0500000US36045,"Jefferson County, New York",3283923657,1524539436,1267.93,588.628,43.996389,-76.0529678
0500000US36047,"Kings County, New York",179684484,71158757,69.377,27.475,40.6350451,-73.9506398
0500000US36049,"Lewis County, New York",3305625876,39648337,1276.309,15.308,43.7827061,-75.4441316
0500000US36051,"Livingston County, New York",1635976564,22076449,631.654,8.524,42.7290418,-77.778463
0500000US36053,"Madison County, New York",1696054036,16691322,654.85,6.445,42.9100255,-75.6635749
0500000US36055,"Monroe County, New York",1701477039,1838269506,656.944,709.76,43.2503466,-77.7005177
0500000US36057,"Montgomery County, New York",1044052635,18613523,403.111,7.187,42.9008912,-74.4353575
0500000US36059,"Nassau County, New York",736960644,437290665,284.542,168.839,40.7296118,-73.5894144
0500000US36061,"New York County, New York",58683879,29010416,22.658,11.201,40.7766419,-73.9701871
0500000US36063,"Niagara County, New York",1352876140,1598772310,522.348,617.289,43.2726719,-78.8129431
0500000US36065,"Oneida County, New York",3140211187,117357244,1212.442,45.312,43.2427273,-75.4342824
0500000US36067,"Onondaga County, New York",2016027800,70512842,778.393,27.225,43.0065163,-76.1961336
0500000US36069,"Ontario County, New York",1668148120,47853414,644.076,18.476,42.8563575,-77.3034967
0500000US36071,"Orange County, New York",2103272841,67953621,812.078,26.237,41.4024096,-74.3062522
0500000US36073,"Orleans County, New York",1013364725,1103744014,391.262,426.158,43.3399059,-78.2070281
0500000US36075,"Oswego County, New York",2464650884,933469962,951.607,360.415,43.4614431,-76.2092618
0500000US36077,"Otsego County, New York",2594488425,36312826,1001.738,14.02,42.6297762,-75.028841
