County_Name,Brightness
Albany County ,25649.1
Allegany County ,2694.3
Bronx County ,81936.7
Broome County ,18621.5
Cattaraugus County ,6915.9
Cayuga County ,7831
Chautauqua County ,13941.1
Chemung County ,10229.8
Chenango County ,3651.6
Clinton County ,15080.6
Columbia County ,6489.2
Cortland County ,4213.3
Delaware County ,1758.9
Dutchess County ,18487.8
Erie County ,94605.4
Essex County ,3117.9
Franklin County ,7832.5
Fulton County ,4542.8
Genesee County ,11265.4
Greene County ,2650
Hamilton County ,387.9
Herkimer County ,319.1
Jefferson County ,14505.4
Kings County ,52207.8
Lewis County ,2133
Livingston County ,6687.3
Madison County ,6513
Monroe County ,73655.9
Montgomery County ,3910.3
Nassau County ,166088.3
 County ,181296.6
Niagara County ,25098.3
Oneida County ,28398.1
Onondaga County ,50887.3
Ontario County ,14609.1
Orange County ,30703.1
Orleans County ,3032.8
Oswego County ,10211.1
Otsego County ,4878.4
Putnam County ,20485.6
Queens County ,72358.5
Rensselaer County ,24990.8
Richmond County ,76024.2
Rockland County ,19230.7
Saratoga County ,16233.4
Schenectady County ,25287.3
Schoharie County ,2079.1
Schuyler County ,1228.1
Seneca County ,6723.7
St. Lawrence County ,8349.4
Steuben County ,5412.5
Suffolk County ,56404.7
Sullivan County ,8801.6
Tioga County ,4160.3
Tompkins County ,7074.9
Ulster County ,8320.8
Warren County ,2249.4
Washington County ,9962.1
Wayne County,7871.3
Westchester County,35877.9
Wyoming County,4280.3
Yates County,1337.5
