Nearest_County,Brightness
"Albany County, New York",2138.5
"Allegany County, New York",81629.9
"Bronx County, New York",15645.1
"Broome County, New York",5431.2
"Cattaraugus County, New York",6119.7
"Cayuga County, New York",11669.2
"Chautauqua County, New York",7682.8
"Chemung County, New York",2550.9
"Chenango County, New York",10743.9
"Clinton County, New York",4758.3
"Columbia County, New York",3205.1
"Cortland County, New York",1087.0
"Delaware County, New York",16047.5
"Dutchess County, New York",93522.2
"Erie County, New York",2106.7
"Essex County, New York",5796.0
"Franklin County, New York",3441.1
"Fulton County, New York",8067.0
"Genesee County, New York",1839.4
Geographic Area Name,26682.1
"Greene County, New York",167.6
"Hamilton County, New York",252.7
"Herkimer County, New York",12172.1
"Jefferson County, New York",49887.9
"Kings County, New York",1868.7
"Lewis County, New York",5316.9
"Livingston County, New York",4977.2
"Madison County, New York",71633.8
"Monroe County, New York",3191.6
"Montgomery County, New York",170508.7
"Nassau County, New York",148304.0
"New York County, New York",24074.1
"Niagara County, New York",22163.0
"Oneida County, New York",45622.9
"Onondaga County, New York",13870.1
"Ontario County, New York",27167.3
"Orange County, New York",2434.9
"Orleans County, New York",7200.3
"Oswego County, New York",5682.7
"Otsego County, New York",17739.0
"Putnam County, New York",71269.2
"Queens County, New York",21453.2
"Rensselaer County, New York",107450.0
"Richmond County, New York",19424.1
"Rockland County, New York",7263.6
"Saratoga County, New York",18262.0
"Schenectady County, New York",1505.5
"Schoharie County, New York",2168.0
"Schuyler County, New York",5543.1
"Seneca County, New York",4206.2
"St. Lawrence County, New York",16252.7
"Steuben County, New York",55893.8
"Suffolk County, New York",7181.1
"Sullivan County, New York",3080.7
"Tioga County, New York",5858.1
"Tompkins County, New York",6298.1
"Ulster County, New York",1837.3
"Warren County, New York",7828.3
"Washington County, New York",5373.1
"Wayne County, New York",35278.6
"Westchester County, New York",3007.2
"Wyoming County, New York",1019.5
