County_Name,Real_GDP_2019
Allegany,1723115.0
Bronx,44654229.0
Broome,9235160.0
Cattaraugus,2912501.0
Cayuga,2901102.0
Chautauqua,4826497.0
Chemung,3743192.0
Chenango,2332107.0
Clinton,3688995.0
Columbia,2387520.0
Cortland,1779631.0
Delaware,2102985.0
Dutchess,14476090.0
Erie,58833333.0
Essex,1633581.0
Franklin,1930257.0
Fulton,1903639.0
Genesee,2471004.0
Greene,2296907.0
Hamilton,231065.0
Herkimer,1822195.0
Jefferson,6361905.0
Kings,103556746.0
Lewis,1106714.0
Livingston,2237999.0
Madison,2348829.0
Monroe,48455221.0
Montgomery,1954214.0
Nassau,101628423.0
New York,745306426.0
Niagara,9978260.0
Oneida,11125823.0
Onondaga,31894110.0
Ontario,6426485.0
Orange,19794340.0
Orleans,1384416.0
Oswego,6777407.0
Otsego,2691556.0
Putnam,3933428.0
Queens,105747903.0
Rensselaer,8853377.0
Richmond,16891174.0
Rockland,17565261.0
St. Lawrence,4714866.0
Saratoga,12417181.0
Schenectady,8914297.0
Schoharie,1067472.0
Schuyler,533198.0
Seneca,1584467.0
Steuben,4596156.0
Suffolk,100944828.0
Sullivan,3123148.0
Tioga,1789612.0
Tompkins,6298392.0
Ulster,7630419.0
Warren,4558773.0
Washington,1932759.0
Wayne,4108553.0
Westchester,85918413.0
Wyoming,1778533.0
Yates,960245.0
