
GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
36000,New York,1,Real GDP (thousands of chained 2017 dollars),1240755230,1228580763,1236563061,1269433125,1301438005,1339568524,1353798930,1328095698,1379504556,1431624004,1440346783,1496280128,1501818048,1535375930,1565835160,1590567799,1624800665,1665186762,1709750685,1650567241,1724472246,1763524631
36000,New York,2,Chain-type quantity indexes for real GDP,76.364,75.614,76.106,78.129,80.098,82.445,83.321,81.739,84.903,88.111,88.648,92.090,92.431,94.496,96.371,97.893,100.000,102.486,105.228,101.586,106.134,108.538
36000,New York,3,Current-dollar GDP (thousands of current dollars),876285223,885386163,908535168,958565330,1009851006,1072271784,1116265310,1107860207,1155492252,1217747974,1245769442,1324471339,1364632910,1434606285,1498474663,1556829961,1624800665,1710665609,1793261344,1766857434,1911345800,2048402630
36001,"Albany, NY",1,Real GDP (thousands of chained 2017 dollars),25619736,25559345,26341642,26658549,26809437,26733314,26818457,27217830,28317463,28260925,28452103,28723744,29431456,30329961,30964946,31617026,31742890,31793879,32999927,32153712,34560195,35344278
36001,"Albany, NY",2,Chain-type quantity indexes for real GDP,80.710,80.520,82.984,83.983,84.458,84.218,84.486,85.745,89.209,89.031,89.633,90.489,92.718,95.549,97.549,99.603,100.000,100.161,103.960,101.294,108.875,111.345
36001,"Albany, NY",3,Current-dollar GDP (thousands of current dollars),18006524,18391092,19367955,20163456,20876044,21538544,22221413,22958596,24429266,24677028,25197054,25998359,27247945,28735895,30035306,31146807,31742890,32583380,34502964,34549145,38253832,41203415
36003,"Allegany, NY",1,Real GDP (thousands of chained 2017 dollars),1294568,1316067,1350421,1365139,1387625,1365150,1320017,1441525,1349019,1378282,1402346,1400930,1407913,1493870,1466756,1439469,1697623,1661773,1723115,1503822,1440041,1455053
36003,"Allegany, NY",2,Chain-type quantity indexes for real GDP,76.258,77.524,79.548,80.415,81.739,80.415,77.757,84.914,79.465,81.189,82.606,82.523,82.934,87.998,86.401,84.793,100.000,97.888,101.502,88.584,84.827,85.711
36003,"Allegany, NY",3,Current-dollar GDP (thousands of current dollars),890645,929177,972374,1010941,1053798,1066923,1067139,1194595,1154790,1184114,1225550,1256771,1297084,1405697,1417699,1421548,1697623,1692746,1800390,1609570,1598628,1713248
36005,"Bronx, NY",1,Real GDP (thousands of chained 2017 dollars),32778255,33050622,33340890,33733954,34109594,33890471,34594977,35380139,35812746,36419511,36492921,37064343,38015572,38445020,38609160,39590448,39476535,42861240,44654229,42641082,43193892,43674840
36005,"Bronx, NY",2,Chain-type quantity indexes for real GDP,83.032,83.722,84.457,85.453,86.405,85.850,87.634,89.623,90.719,92.256,92.442,93.890,96.299,97.387,97.803,100.289,100.000,108.574,113.116,108.016,109.417,110.635
36005,"Bronx, NY",3,Current-dollar GDP (thousands of current dollars),22365451,23252632,24007507,24991104,26050059,26808747,28184086,29449515,30636527,31433826,31940899,33174524,34757395,35902121,37064544,38861506,39476535,43902337,46937853,46254098,48446075,51573982
36007,"Broome, NY",1,Real GDP (thousands of chained 2017 dollars),8177807,8076697,8001446,7946599,7997363,8248067,8492371,8968696,8988337,9431511,9462077,9530681,9306605,9125273,9047065,8915673,9063798,9031322,9235160,8765443,9094136,9113132
36007,"Broome, NY",2,Chain-type quantity indexes for real GDP,90.225,89.109,88.279,87.674,88.234,91.000,93.696,98.951,99.167,104.057,104.394,105.151,102.679,100.678,99.815,98.366,100.000,99.642,101.891,96.708,100.335,100.544
