"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",33,2001,6224.566529513400349276,1762084.5870359049184479
"USA",33,2002,4927.804729656203442124,1461689.286989826641504
"USA",33,2003,3469.834394453165686150,1035134.930641791648790
"USA",33,2004,7877.335430743131591174,2393048.595028169820253
"USA",33,2005,8568.816440972038955674,2571332.317793684020836
"USA",33,2006,6542.999942249870280209,2061963.224892525448098
"USA",33,2007,7247.436318011021206928,2298753.322422361707816
"USA",33,2008,6536.955724147533487201,2146990.689611484801382
"USA",33,2009,5029.770344887746583185,1672434.945921342589049
"USA",33,2010,6375.86701740301479764,2129400.238905229220485
"USA",33,2011,4084.395207060269673968,1428626.626547193405355
"USA",33,2012,8365.761697467533014779,2741720.1901251300626675
"USA",33,2013,5187.007191418814137783,1703108.112701220609750
"USA",33,2014,7388.280806257933105113,2447203.0333380063178785
"USA",33,2015,7696.290135642193264978,2572167.783526474447421
"USA",33,2016,10424.550077030007823916,3549749.797209051683321
"USA",33,2017,12899.296085120438310010,4558294.871351858515755
"USA",33,2018,14659.428579776287954894,5293604.442191389559386
"USA",33,2019,11415.144967236813734204,4131984.500856036526001
"USA",33,2020,10461.860202363306288349,3852335.274842356270301
"USA",33,2021,9654.89424528471422832,3667319.0009730782714734
"USA",33,2022,12736.948054014593198648,4867828.360233977352272
"USA",33,2023,10035.183956597976167125,3926943.377683717406086
