County_Name,Real_GDP_2019
Allegany,1723115
Bronx,44654229
Broome,9235160
Cattaraugus,2912501
Cayuga,2901102
Chautauqua,4826497
Chemung,3743192
Chenango,2332107
Clinton,3688995
Columbia,2387520
Cortland,1779631
Delaware,2102985
Dutchess,14476090
Erie,58833333
Essex,1633581
Franklin,1930257
Fulton,1903639
Genesee,2471004
Greene,2296907
Hamilton,231065
Herkimer,1822195
Jefferson,6361905
Kings,103556746
Lewis,1106714
Livingston,2237999
Madison,2348829
Monroe,48455221
Montgomery,1954214
Nassau,101628423
New York,745306426
Niagara,9978260
Oneida,11125823
Onondaga,31894110
Ontario,6426485
Orange,19794340
Orleans,1384416
Oswego,6777407
Otsego,2691556
Putnam,3933428
Queens,105747903
Rensselaer,8853377
Richmond,16891174
Rockland,17565261
St. Lawrence,4714866
Saratoga,12417181
Schenectady,8914297
Schoharie,1067472
Schuyler,533198
Seneca,1584467
Steuben,4596156
Suffolk,100944828
Sullivan,3123148
Tioga,1789612
Tompkins,6298392
Ulster,7630419
Warren,4558773
Washington,1932759
Wayne,4108553
Westchester,85918413
Wyoming,1778533
Yates,960245
