County_Name,Brightness,Real_GDP_2019,Average_Annual_Count,"Age_Adjusted_Death_Rate_deaths_per_100,000",Depression_Rate(per_100k),PTSD_rate(per_100k),Trauma_rate(per_100k),tree_cover_loss_2019,gross_emissions_co2e_all_gases_Mg_2019,latitude,longitude
Allegany,2694.3,1723115,7,17.3,23.16257015,15.01277695,59.6,57.14577656,21474.34896,42.2478532,-78.0261531
Bronx,81936.7,44654229,77,5.2,23.61686906,8.375496896,33.4,0.760568734,211.847613,40.8487111,-73.852939
Broome,18621.5,9235160,21,11,38.43812062,18.75030274,78.9,29.72271988,11696.56785,42.1619773,-75.8302833
Cattaraugus,6915.9,2912501,11,15.8,27.8952547,15.19048523,72.6,146.8495561,58194.14806,42.2390986,-78.662332
Cayuga,7831.0,2901102,11,14.5,36.15688983,13.27635798,57.6,49.03117192,17966.58774,43.0085456,-76.5745866
Chautauqua,13941.1,4826497,17,12.3,30.51275179,17.34058025,71.9,95.33505617,39610.98042,42.3042159,-79.4075949
Chemung,10229.8,3743192,13,15.6,33.47454054,19.20244961,75.5,7.691992913,2838.171012,42.1486972,-76.7524712
Chenango,3651.6,2332107,8,16.2,38.45321926,25.29817056,81.0,199.3815327,82530.926,42.4780238,-75.6022407
Clinton,15080.6,3688995,9,11.5,31.99852807,21.86566085,81.6,645.1457777,199403.3166,44.752712,-73.7056429
Columbia,6489.2,2387520,9,12.8,28.81826438,16.01014688,60.5,64.26213556,25190.82829,42.2476964,-73.6267175
Cortland,4213.3,1779631,4,9.3,34.42456215,24.58897296,82.3,111.1491191,52267.71639,42.594039,-76.0762398
Delaware,1758.9,2102985,9,18.6,22.94624296,12.0194606,64.5,101.2883284,41436.60303,42.1939865,-74.9667281
Dutchess,18487.8,14476090,42,12.8,26.98251473,14.5127886,56.6,80.50728549,29927.56938,41.7548253,-73.7400136
Erie,94605.4,58833333,95,9.5,29.11645015,13.27497727,59.9,98.86053998,28796.20434,42.752759,-78.7781922
Essex,3117.9,1633581,4,11.3,21.02799878,18.62479892,48.1,372.5051016,143835.9604,44.1096005,-73.7784307
Franklin,7832.5,1930257,8,16.4,27.93324775,13.55584082,62.0,1403.635148,493587.1411,44.5943758,-74.31067
Fulton,4542.8,1903639,9,16.3,30.27722585,17.52892023,72.5,141.2465134,58145.26569,43.1156093,-74.4236782
Genesee,11265.4,2471004,7,13.2,37.6676547,20.80689498,66.4,5.150867525,1638.120522,43.0009096,-78.1927784
Greene,2650.0,2296907,7,12.5,36.42758447,12.14252816,61.1,103.3986948,37715.51177,42.2869702,-74.1495421
Herkimer,319.1,1822195,8,12.1,42.00046201,17.2001892,93.2,566.0831594,217329.675,43.571009,-74.8410968
Jefferson,14505.4,6361905,15,12.9,35.63561691,18.17416462,76.4,194.0847409,58190.85807,43.996389,-76.0529678
Lewis,2133.0,1106714,5,21.8,20.34227919,10.57798518,48.0,675.2368876,254290.4844,43.7827061,-75.4441316
Livingston,6687.3,2237999,9,13.1,33.25020781,17.15010719,68.6,43.13840956,15360.1365,42.7290418,-77.778463
Madison,6513.0,2348829,10,14,25.39949583,15.02120721,74.8,98.31913152,37200.43995,42.9100255,-75.6635749
Monroe,73655.9,48455221,79,10,28.85610785,15.05415077,62.4,69.83133567,22251.1812,43.2503466,-77.7005177
Montgomery,3910.3,1954214,6,13,26.90432151,15.08272569,70.9,16.26749782,5762.745992,42.9008912,-74.4353575
Nassau,166088.3,101628423,83,5.6,24.09010808,8.076185659,34.1,31.26594961,12491.38913,40.7296118,-73.5894144
New York,181296.6,745306426,130,6.9,30.15608511,11.21997016,56.2,0.668812712,73.49968218,40.7766419,-73.9701871
Niagara,25098.3,9978260,28,12.2,32.39416746,16.69392679,67.7,46.87897696,9857.227367,43.2726719,-78.8129431
Oneida,28398.1,11125823,31,13.3,32.32389082,12.5854925,63.4,318.5738632,126116.486,43.2427273,-75.4342824
Onondaga,50887.3,31894110,52,10.8,28.85772265,16.65734381,66.4,60.04172426,20158.77844,43.0065163,-76.1961336
Ontario,14609.1,6426485,17,14.4,30.31135621,18.03804633,65.3,26.76155449,8941.011944,42.8563575,-77.3034967
Orange,30703.1,19794340,39,9.5,27.54413644,11.98980057,49.6,114.0525679,39818.89859,41.4024096,-74.3062522
Orleans,3032.8,1384416,5,8.8,28.61563898,15.36765797,54.6,40.1238701,10886.92653,43.3399059,-78.2070281
Oswego,10211.1,6777407,15,12.6,38.90835298,16.59851756,78.2,214.7483755,72861.34419,43.4614431,-76.2092618
Otsego,4878.4,2691556,9,16.4,30.92867954,19.90459574,80.2,151.8501272,67437.04246,42.6297762,-75.028841
Putnam,20485.6,3933428,8,6.3,27.44441442,9.573632938,43.6,31.66952459,12160.50685,41.4279067,-73.7438608
Queens,72358.5,105747903,148,5.8,23.54030058,6.594496638,29.3,0.293729339,55.89670198,40.6546581,-73.8412089
Rensselaer,24990.8,8853377,17,10.7,29.02525066,16.285661,70.9,196.8790839,81874.22853,42.7104206,-73.5138454
Richmond,76024.2,16891174,35,6.5,22.20899411,8.328372791,34.4,6.112871823,2052.806144,40.5612628,-74.1398995
Rockland,19230.7,17565261,19,5.6,20.34577203,7.239599862,35.7,31.88097245,11946.75823,41.1546276,-74.0246616
Saratoga,16233.4,12417181,25,10,27.48444532,14.78536168,65.6,528.1698856,217101.3578,43.1061353,-73.8553872
Schenectady,25287.3,8914297,15,9.1,36.78657304,17.89997999,67.8,16.18464643,6172.42455,42.8175516,-74.0435592
Schoharie,2079.1,1067472,5,14.6,29.66130924,15.17555356,66.9,113.974841,56216.22921,42.591294,-74.4381718
Schuyler,1228.1,533198,3 or fewer,* ,28.96154751,15.6875049,77.2,45.0665905,17034.37269,42.4197755,-76.938603
Seneca,6723.7,1584467,4,12.7,32.44794387,16.89997076,60.8,19.89663138,6846.256547,42.7822943,-76.827088
Steuben,5412.5,4596156,14,13.5,27.69037845,17.47671426,68.1,98.17648121,33568.49567,42.2667252,-77.3855253
Suffolk,56404.7,100944828,134,8.3,25.29857047,10.0434239,41.9,153.2101524,54724.79,40.943554,-72.6922183
Sullivan,8801.6,3123148,11,12.2,26.67361464,16.77412879,52.2,140.3845048,57132.37762,41.7199928,-74.7715769
Tioga,4160.3,1789612,6,12.5,31.33534724,16.74080195,72.1,55.69018907,23399.75403,42.1780565,-76.2974556
Tompkins,7074.9,6298392,13,12.8,36.40519183,17.38450172,89.4,68.03584785,27564.16272,42.4530063,-76.4734835
Ulster,8320.8,7630419,26,12.8,28.04216936,18.73086988,69.5,118.5577137,44139.24734,41.9472124,-74.2654582
Warren,2249.4,4558773,7,10.9,22.71912759,13.75947164,68.8,301.0425763,122454.7596,43.5551053,-73.8381388
Washington,9962.1,1932759,10,13.8,24.53389581,12.42625892,56.4,142.9170031,60258.8235,43.3123766,-73.4394282
Wayne,7871.3,4108553,14,14.6,28.60170901,14.85515119,53.4,112.2477991,33644.8072,43.2181139,-77.0494024
Westchester,35877.9,85918413,73,7,22.20859865,8.410106814,34.3,44.7603767,16810.76885,41.1526862,-73.7457526
Wyoming,4280.3,1778533,6,12.2,23.71563374,15.28340841,59.6,16.90046154,5593.398405,42.7013652,-78.2285762
Yates,1337.5,960245,4,14.9,18.12467304,8.238487743,49.4,23.84888385,7571.956359,42.638237,-77.1043238
