Suicide & Self-Inflicted Injury Death Rates  Table for New York by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"New York",36000,8 ,7.8, 8.2,1699,stable,0.1 ,-0.8, 1.2
"United States",00000,13.9 ,13.9, 14,47896,stable,0.3 ,-0.7, 1.0
"Lewis County",36049,21.8 ,14.1, 32.2,5,*,*,*,*
"Delaware County",36025,18.6 ,13, 25.8,9,*,*,*,*
"Allegany County",36003,17.3 ,11.9, 24.3,7,*,*,*,*
"Otsego County",36077,16.4 ,11.7, 22.3,9,*,*,*,*
"Franklin County",36033,16.4 ,11.6, 22.5,8,*,*,*,*
"Fulton County",36035,16.3 ,11.6, 22.2,9,*,*,*,*
"Chenango County",36017,16.2 ,11.4, 22.5,8,*,*,*,*
"Cattaraugus County",36009,15.8 ,11.8, 20.6,11,*,*,*,*
"Chemung County",36015,15.6 ,12, 20,13,rising,2.6 ,0.1, 5.5
"Yates County",36123,14.9 ,8.3, 24.3,4,*,*,*,*
"Wayne County",36117,14.6 ,11.2, 18.8,14,*,*,*,*
"Schoharie County",36095,14.6 ,9, 22.5,5,*,*,*,*
"Cayuga County",36011,14.5 ,10.8, 19.1,11,*,*,*,*
"Ontario County",36069,14.4 ,11.3, 18,17,*,*,*,*
"Madison County",36053,14 ,10.1, 18.8,10,*,*,*,*
"Washington County",36115,13.8 ,10, 18.7,10,*,*,*,*
"Steuben County",36101,13.5 ,10.3, 17.3,14,*,*,*,*
"Oneida County",36065,13.3 ,11.2, 15.7,31,rising,2.1 ,0.6, 3.7
"Genesee County",36037,13.2 ,9.1, 18.6,7,*,*,*,*
"Livingston County",36051,13.1 ,9.3, 18,9,*,*,*,*
"Montgomery County",36057,13 ,8.7, 18.6,6,*,*,*,*
"Jefferson County",36045,12.9 ,10.1, 16.2,15,*,*,*,*
"Columbia County",36021,12.8 ,9, 17.7,9,*,*,*,*
"Ulster County",36111,12.8 ,10.6, 15.4,26,stable,1.1 ,-2.4, 3.0
"Dutchess County",36027,12.8 ,11, 14.8,42,rising,4.3 ,2.5, 6.7
"Tompkins County",36109,12.8 ,9.7, 16.5,13,*,*,*,*
"Seneca County",36099,12.7 ,7.8, 19.6,4,*,*,*,*
"Oswego County",36075,12.6 ,9.7, 15.9,15,stable,2.2 ,-0.2, 4.8
"Greene County",36039,12.5 ,8.3, 18,7,*,*,*,*
"Tioga County",36107,12.5 ,8.2, 18.1,6,*,*,*,*
"St. Lawrence County",36089,12.5 ,9.5, 16,13,*,*,*,*
"Chautauqua County",36013,12.3 ,9.7, 15.3,17,rising,2.6 ,1.1, 4.2
"Wyoming County",36121,12.2 ,8, 18,6,*,*,*,*
"Niagara County",36063,12.2 ,10.2, 14.6,28,stable,-2.7 ,-7.3, 1.1
