"iso","adm1","adm2","umd_tree_cover_extent_2000__ha","area__ha"
"USA",33,1,94166.28601475848550066,138046.39765726319095399
"USA",33,2,187089.64457517548850764,266911.59914910887278439
"USA",33,3,1716.26425675859822737,11542.209436520422500606
"USA",33,4,123699.82688657817062642,185531.4342710800366000
"USA",33,5,251918.60158530917323121,343300.019847146035408484
"USA",33,6,75328.816557627162561516,189385.282678220558179425
"USA",33,7,171469.482580159737162084,281063.49093811343764630
"USA",33,8,69534.97026810655638826,105962.2107285387691534
"USA",33,9,159730.07360829049649202,233773.93712446001772415
"USA",33,10,211692.55620933204123786,289978.18861140882988315
"USA",33,11,116666.58753830128548100,166913.94237163699089466
"USA",33,12,78947.432260872030851660,130085.07575522994905779
"USA",33,13,295796.07328994160168616,378012.38911555164549650
"USA",33,14,154135.087331378363291295,212637.89842265904835895
"USA",33,15,141341.242653101337851750,271668.035986074745853436
"USA",33,16,437205.22439997363419765,495962.90195861044751213
"USA",33,17,369805.673004448116772194,437548.96628274404990632
"USA",33,18,110343.880330564716924965,138795.863995845175710415
"USA",33,19,44623.614585966513724396,127507.10780096168955509
"USA",33,20,145747.300232857974865076,170539.683513162872947006
"USA",33,21,441144.26204372627675000,466485.65916403539531372
"USA",33,22,300004.708397266663603454,376700.666256186194674110
"USA",33,23,167572.66617219518760174,332331.73007383629038302
"USA",33,24,817.6733237523098682,18210.54608499724793268
"USA",33,25,5581.889291646231062275,936606.873614182337626780
"USA",33,26,271630.82949389751062259,335386.96730749578367543
"USA",33,27,61963.84548636896391093,164957.69391650821706046
"USA",33,28,96206.74661647949058834,172401.39497367215108203
"USA",33,29,70070.955495773519194556,173389.52457720471787013
"USA",33,30,47836.34678539456463585,106452.507053176369000704
"USA",33,31,23746.77582595593941793,76598.28478792588714136
"USA",33,32,519.50826242510844197,6902.0410823106764911
"USA",33,33,50794.16023595097699849,136365.23019150261050384
"USA",33,34,208943.93721774727892855,325748.89423907666385026
"USA",33,35,103778.86400355286387379,209606.08712279576201954
"USA",33,36,68407.43592105103939526,171795.238326238010983126
"USA",33,37,154315.25084230564119470,217859.415816879980709709
"USA",33,38,37404.66540909372587396,102110.88107648044602479
"USA",33,39,191437.85443455856689320,261547.16834003015770335
"USA",33,40,171194.27558639852175753,260926.93972954849579750
"USA",33,41,54798.85111671612444561,64132.55837050470654740
"USA",33,42,1767.98425652308786515,28865.61771801759955297
"USA",33,43,127870.72138042312814501,171822.56776369619628534
"USA",33,44,3538.780802126912998,15083.103991137899016
"USA",33,45,34206.27754581493552172,51188.49109545483754657
"USA",33,46,542438.66620659216951863,715477.94784679172158568
"USA",33,47,166286.828851997367146156,216839.877488545974167340
"USA",33,48,36431.44760766208710754,54535.98231109064417458
"USA",33,49,113202.837618265348687626,162002.047379126854552616
"USA",33,50,52807.55441514171284144,88125.72301601623165982
"USA",33,51,25373.23417937616020146,100688.047990089228199589
"USA",33,52,214281.14834981651484915,363599.94493843853847188
"USA",33,53,128567.31447662750382710,240882.84505512543172158
"USA",33,54,220598.417458995001974879,257781.171679079265647025
"USA",33,55,85652.67156484158695683,135370.96250468918053873
"USA",33,56,73915.32625932204370068,127067.331837519261018236
"USA",33,57,258011.10573675405631772,301627.57105501993889962
"USA",33,58,215042.71378683769838185,239917.11381753575233055
"USA",33,59,146950.08944642896588645,222210.89783425827813368
"USA",33,60,76830.969486077655171991,158574.73784923729225299
"USA",33,61,84812.24995487015314448,122254.111415556910028446
"USA",33,62,68305.93389255143619405,155572.971749641074015684
"USA",33,63,40278.33974003317528862,97495.78574085737018672
