adm2,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
Albany,2019,86.54578874725239,34314.949334745026
Allegany,2019,57.14577655777134,21474.348958519455
Bronx,2019,0.7605687336827257,211.8476130121901
Broome,2019,29.722719877079015,11696.567847564664
Cattaraugus,2019,146.84955609905143,58194.14806181563
Cayuga,2019,49.03117191634551,17966.587738193273
Chautauqua,2019,95.33505616859374,39610.980415960395
Chemung,2019,7.691992912552086,2838.1710118049073
Chenango,2019,199.3815327322203,82530.92599797659
Clinton,2019,645.1457777247477,199403.31655917736
Columbia,2019,64.2621355582681,25190.828293608716
Cortland,2019,111.14911912541676,52267.71639275434
Delaware,2019,101.28832836618491,41436.60302565598
Dutchess,2019,80.50728549467001,29927.56938029231
Erie,2019,98.86053998494135,28796.204336654275
Essex,2019,372.5051016163206,143835.9604193874
Franklin,2019,1403.6351475727568,493587.1411347552
Fulton,2019,141.246513395686,58145.26568530862
Genesee,2019,5.1508675252387155,1638.1205219344035
Greene,2019,103.3986947979124,37715.51177009613
Hamilton,2019,219.94211983486127,82984.3273237592
Herkimer,2019,566.0831593688762,217329.67500975824
Jefferson,2019,194.0847409233604,58190.85807257942
,2019,0.6688127123871528,73.49968217833818
Lewis,2019,675.23688756463,254290.48435786623
Livingston,2019,43.13840955660809,15360.13650211729
Madison,2019,98.31913151892164,37200.439947095656
Monroe,2019,69.83133567274521,22251.18119806648
Montgomery,2019,16.26749781582031,5762.745992261271
Nassau,2019,31.265949606380225,12491.389126646232
Niagara,2019,46.87897696486546,9857.227367484458
Oneida,2019,318.5738631762907,126116.48596244736
Onondaga,2019,60.04172425947263,20158.778440395152
Ontario,2019,26.761554494407555,8941.01194370231
Orange,2019,114.05256791175776,39818.89859284115
Orleans,2019,40.12387010194665,10886.926528499722
Oswego,2019,214.74837547832067,72861.34419379107
Otsego,2019,151.85012721077047,67437.04246323853
Putnam,2019,31.669524592398055,12160.506849930704
Queens,2019,0.293729339203559,55.896701984089475
Rensselaer,2019,196.8790839118276,81874.2285283156
Richmond,2019,6.112871823200956,2052.8061444403975
Rockland,2019,31.880972446447448,11946.758228039516
Saint Lawrence,2019,2461.761421585575,790865.1051271136
Saratoga,2019,528.1698856055839,217101.35781331785
Schenectady,2019,16.18464643269315,6172.4245501871155
Schoharie,2019,113.97484100046005,56216.22921309526
Schuyler,2019,45.066590495112955,17034.372687298743
Seneca,2019,19.896631382851577,6846.256547397908
Steuben,2019,98.17648120686836,33568.495671447046
Suffolk,2019,153.21015238978063,54724.790000738496
Sullivan,2019,140.3845048156639,57132.377617199825
Tioga,2019,55.690189072491215,23399.75403249443
Tompkins,2019,68.03584785107412,27564.162715102433
Ulster,2019,118.55771365269302,44139.24733929935
Warren,2019,301.04257632839153,122454.75957271084
Washington,2019,142.9170030680684,60258.82350162338
Wayne,2019,112.24779906440534,33644.80719911508
Westchester,2019,44.76037670250645,16810.76884708811
Wyoming,2019,16.900461539858934,5593.39840523981
Yates,2019,23.848883850542535,7571.956358911448
